# Docling sidecar — Python dependency license inventory
# Generated by scanning */dist-info METADATA in the bundled env (python3.13).
# Reviewed 2026-06-25. Strong copyleft (GPL/AGPL): NONE.
#
PACKAGE                                  LICENSE
pyclipper-1.4.0                          MIT
pycparser-3.0                            BSD-3-Clause
pydantic_core-2.46.4                     MIT
pydantic_extra_types-2.11.1              MIT
pydantic_settings-2.14.1                 MIT
pydantic-2.13.4                          MIT
pygments-2.20.0                          BSD-2-Clause
pyjwt-2.13.0                             MIT
pylatexenc-2.10                          MIT
pynacl-1.6.2                             Apache-2.0
pypdfium2-5.9.0                          BSD-3-Clause, Apache-2.0, dependency lic
python_dateutil-2.9.0.post0              Dual License
python_discovery-1.4.0                   Permission is hereby granted, free of ch
python_docx-1.2.0                        MIT
python_dotenv-1.2.2                      BSD-3-Clause
python_multipart-0.0.32                  Apache-2.0
python_pptx-1.0.2                        MIT
python_rapidjson-1.23                    MIT License
pytz-2026.2                              MIT
pyyaml-6.0.3                             MIT
qwen_vl_utils-0.0.14                     Apache-2.0
rapidocr-3.8.1                           Apache-2.0
redis-7.4.0                              MIT
referencing-0.37.0                       MIT
regex-2026.5.9                           Apache-2.0 AND CNRI-Python
requests_oauthlib-2.0.0                  ISC
requests_toolbelt-1.0.0                  Apache 2.0
requests-2.34.2                          Apache-2.0
rich_toolkit-0.20.0                      MIT
rich-13.9.4                              MIT
rignore-0.7.6                            MIT
rpds_py-2026.5.1                         MIT
rq-2.9.0                                 BSD-2-Clause
rtree-1.4.1                              MIT
s3transfer-0.18.0                        Apache License 2.0
safetensors-0.7.0                        Apache Software License
scalar_fastapi-1.8.2                     MIT
scipy-1.17.1                             Copyright (c) 2001-2002 Enthought, Inc. 
semchunk-3.2.5                           MIT
sentencepiece-0.2.1                      (see package; permissive)
sentry_sdk-2.61.1                        MIT
shapely-2.1.2                            BSD 3-Clause
shellingham-1.5.4                        ISC License
six-1.17.0                               MIT
smart_open-7.6.1                         MIT License
sounddevice-0.5.5                        MIT
soupsieve-2.8.4                          MIT
sse_starlette-3.4.4                      BSD-3-Clause
stack_data-0.6.3                         MIT
starlette-1.2.1                          BSD-3-Clause
sympy-1.14.0                             BSD
tabulate-0.10.0                          MIT
tokenizers-0.22.2                        Apache Software License
torch-2.12.0                             BSD-3-Clause
torchvision-0.27.0                       BSD
tqdm-4.67.3                              MPL-2.0 AND MIT
traitlets-5.15.1                         BSD 3-Clause License
transformers-5.8.1                       Apache 2.0 License
tree_sitter_c-0.24.2                     MIT
tree_sitter_javascript-0.25.0            MIT
tree_sitter_python-0.25.0                MIT
tree_sitter_typescript-0.23.2            MIT
tree_sitter-0.25.2                       MIT License
tritonclient-2.69.0                      BSD
typer-0.21.2                             MIT
typing_extensions-4.15.0                 PSF-2.0
typing_inspection-0.4.2                  MIT
tzdata-2026.2                            Apache-2.0
urllib3-2.7.0                            MIT
uvicorn-0.49.0                           BSD-3-Clause
uvloop-0.22.1                            MIT License
watchfiles-1.2.0                         MIT
wcwidth-0.7.0                            MIT
websocket_client-1.9.0                   Apache-2.0
websockets-16.0                          BSD-3-Clause
widgetsnbextension-4.0.15                BSD 3-Clause License
wrapt-1.17.3                             BSD
xlsxwriter-3.2.9                         BSD-2-Clause
xxhash-3.7.0                             BSD
yarl-1.24.2                              Apache-2.0
zipp-4.1.0                               MIT
